numerical,demographics,clinical_group,clinical_te,diagnosis_group,diagnosis_te,medication_group,medication,other
-0.2641484,0.07129867,0.0850019,0.17552656,0.037780896,0.14484304,0.017312394,0.03836051,0.063119985
-0.36464804,0.12857237,-0.01687755,0.14440192,-0.056522116,0.08263932,-0.05681382,0.016508292,0.08048141
-0.5194866,0.021080801,-0.08188836,-0.32301176,0.08762095,-0.4644791,0.006999032,0.022674538,0.04584594
-0.4950126,-0.08907676,-0.031710725,0.25529,-0.05993227,0.19907904,0.017552,0.023129819,0.08099711
-0.5465864,-0.10341344,0.09602837,0.1818605,0.0031510964,-0.049519915,-0.056016058,0.0030561057,0.08134631
-0.46668753,-0.13096352,0.16823451,0.25217843,0.15895076,-0.35529232,-0.060800582,0.005586718,0.10692465
0.94568557,0.086039394,0.08353378,-0.20605378,0.16557962,0.30169117,0.0126527315,0.03560878,0.06889196
0.3810191,0.04976219,0.07601614,0.27588183,0.013711624,0.101373956,0.034252737,0.10171859,0.0957271
0.19652128,0.00030969083,-0.24626532,-0.4003577,0.14711665,-0.015680302,0.007180961,0.0256628,0.0394384
-0.36334804,-0.30320987,0.071242414,0.24054074,0.028940655,0.15335792,0.0023497585,0.030948542,0.0410949
-0.59756774,0.009299938,0.05601713,-0.0018332526,0.061024666,-0.32236487,0.0062412387,0.052373428,0.08802366
-0.50277513,-0.11869355,0.06631692,0.15759106,0.09727713,-0.33323714,0.00210049,0.04129812,0.08931878
-0.47871795,0.10010069,-0.2176003,-0.3841793,-0.025456822,-0.09415439,0.024958642,0.064467676,0.03601802
-0.25454873,0.036127903,0.023033772,-0.20584306,0.087352574,0.017629784,-0.0071256254,0.039118174,0.08297446
-0.22896382,0.12620671,0.05748481,0.10346215,0.14752816,0.2977993,-0.010180447,0.028374434,0.08429402
-0.28833988,0.047701426,0.092433006,0.12123451,-0.10475861,-0.13977651,-0.018340636,0.024078848,0.08045228
-0.31536612,-0.048485957,0.0054018535,-0.21690467,0.012945097,-0.06545523,0.019662086,0.024511702,0.05974273
-0.72423667,0.026579455,0.111652866,0.21684262,0.20300865,-0.307979,-0.062239584,-0.006185756,0.06436405
0.28740826,0.038934067,0.03282092,-0.27666274,0.1357345,0.36441645,0.015529086,0.038813412,0.06623928
-0.40389833,-0.103311986,0.07119772,-0.18481064,0.07191983,0.011964802,-0.0061383047,0.036504023,0.06307989
-0.34497902,-0.09989824,0.09799305,0.24374437,-0.0013489127,-0.20681001,0.04156082,0.114383526,0.06896426
-0.20562854,-0.3844751,0.009695793,-0.07245225,0.1367154,0.28745353,0.012841266,0.020345809,0.05797734
0.07873194,0.11843191,0.07806895,0.04191169,-0.06863139,-0.15223,0.0023282832,0.038729265,0.0530398
0.53967494,-0.009286409,0.04656691,0.18289971,0.010182293,-0.17317778,0.0048173233,0.063848905,0.065304026
-0.46924013,-0.09151612,0.24315648,0.21399926,0.07349661,0.65240455,0.0065879137,0.03310318,0.09502902
-0.40778992,-0.06733731,0.0465544,-0.2890795,0.024277113,-0.33597994,0.0087185,0.036428023,0.025739968
0.2756046,0.044508543,0.16562904,0.2189432,0.01326675,0.3018087,-0.033856694,0.023679383,0.06515193
-0.24066494,-0.014109223,-0.17803279,0.12948155,0.203155,0.33318782,0.052735765,0.10821721,0.053150658
-0.26094055,0.038566485,0.059245124,0.21088354,-0.0708045,0.045346487,0.038811292,0.09076769,0.04958891
-0.27517542,0.10132767,0.12836516,0.18644336,0.04696048,0.18884683,0.0036513563,0.006417758,0.10720688
-0.28274828,0.015395753,-0.033228055,0.13854828,-0.018738518,0.30253378,0.007240599,0.08855228,0.070192195
-0.51159906,-0.12833366,0.0048848353,0.14787859,0.032676637,-0.2637317,-0.0061180354,0.049308524,0.093246706
-0.34195042,0.14789887,0.09954833,0.22966495,0.08054194,0.082288146,-0.007707777,0.033811342,0.083044924
0.30058038,-0.039639004,-0.011820707,0.13852748,0.044096734,0.17401563,-0.004053347,0.026236415,0.101613745
-0.6148179,-0.103698544,0.059928425,0.0071308278,0.16465977,-0.13647653,0.0505547,0.12826039,0.032441378
-0.23313391,0.03600954,0.12431087,0.14497726,-0.030537337,-0.015433537,0.009024016,0.06967343,0.070743285
-0.31797862,0.0871779,0.09548267,0.18917629,-0.09891738,0.23147836,-0.009326964,0.046098888,0.044852536
-0.3625955,0.031759202,0.07984882,0.1843834,0.053834252,-0.13590679,-0.056621045,0.018004645,0.042658515
-0.39461964,-0.05831954,0.085807316,0.106469125,-0.016821,0.31413865,0.040606398,0.08804616,0.07539511
-0.16751525,0.10614292,0.009801738,0.38997164,-0.02631276,0.03334272,0.059604265,0.10648309,0.08146115
-0.25740027,-0.033654783,0.015567939,-0.06431237,0.010652605,0.051911533,-0.043672323,0.015098634,0.075174175
0.13867247,0.07546512,0.12724714,0.14887185,0.09693219,0.27388993,0.013668941,0.037735917,0.07792684
0.20360331,0.008224588,0.027139056,0.39118373,-0.16403379,0.056305952,0.0027375557,0.03975125,0.090038
0.30893028,0.0113983685,-0.004259363,-0.06341314,-0.011096094,0.32809448,0.024323147,0.09071212,0.074734926
0.26538128,0.07248196,0.052998934,-0.15601653,0.07719104,-0.012013044,-0.0404357,0.027736716,0.079738006
-0.40923828,0.022550672,0.011758059,-0.17301166,-0.17416364,-0.12199925,-0.04759098,0.013992196,0.06375858
-0.14549375,0.01720883,-0.014587678,-0.34262276,0.007814441,-0.14588642,0.13335131,0.14806016,0.06712284
-0.016509783,-0.007459277,-0.00047854707,-0.041696563,0.028726706,0.2755363,0.015293906,0.024834214,0.07878465
0.20472011,0.058179297,0.008717314,0.2514538,0.023028046,0.16835919,0.040220592,0.105916485,0.052853182
-0.4215135,0.039326187,0.08376973,0.16802688,0.04774713,0.3180515,0.028988214,0.020707875,0.046691045
0.16479158,-0.002575649,0.08160937,0.19802655,-0.07580056,0.26164663,-0.023533206,-0.01206122,0.08829238
0.25626773,0.04338897,-0.004246235,-0.008056969,-0.12009745,0.0152440835,-0.00292233,0.03342055,0.089555904
