,number_inpatient,discharge_disposition_id_te,admission_source_id_te,number_outpatient,admission_type_id_te,number_emergency,payer_code,diag_1_te,num_medications,acarbose,diag_2_te,number_diagnoses,age,diag_1,admission_source_id,diag_2,medical_specialty_te,diag_3,num_procedures,weight,A1Cresult,insulin,race,gender,diag_3_te,medical_specialty,num_lab_procedures,sulfonylureas__prescribed,insulin__prescribed,tzds__prescribed,time_in_hospital,insulin__change,admission_type_id,rosiglitazone,discharge_disposition_id,glipizide,metformin,max_glu_serum,pioglitazone,metformin__prescribed,glyburide,repaglinide,glimepiride,sulfonylureas__change,meglitinides__prescribed,glyburide-metformin,metformin__change,alpha_glucosidase__prescribed,tzds__change,miglitol,metformin-pioglitazone,metformin-rosiglitazone,glimepiride-pioglitazone,glipizide-metformin,tolbutamide,tolazamide,troglitazone,meglitinides__change,acetohexamide,alpha_glucosidase__change,nateglinide,chlorpropamide
age,0.0183587837964296,0.0052373735234141,0.00547617347911,0.0008100650738924,0.0046665589325129,0.0036969010252505,0.0037051138933748,0.0025316898245364,0.0049898661673069,0.0,0.001570375286974,0.0042047342285513,0.0442536398768425,0.0028320373967289,0.0015181221533566,0.0020504826679825,0.0035727729555219,0.004273940809071,0.0025672132615,0.0003393761289771,0.0008501735865138,0.0010542508680373,0.0011107061291113,0.0019630435854196,0.0021821018308401,0.0019411670509725,0.0031055207364261,0.0008815162582322,0.0006998310564085,0.000373830756871,0.0033809193409979,0.0003322437696624,0.0009340256801806,0.0001769831724232,0.0028488487005233,0.0002438051014905,0.0004426911473274,0.0002418668736936,0.0001831037807278,0.0006597153842449,0.0013018529862165,3.6274053854867816e-05,6.705465057166293e-05,5.594238609774038e-05,2.1719106371165253e-05,1.5482377193620778e-06,6.061664521439525e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diag_1,0.0058513162657618,0.0047110579907894,0.0044179670512676,0.0015790573088452,0.0028333403170108,0.0014163731830194,0.0030628875829279,0.0018610542174428,0.0032269172370433,0.0004821167094632,0.0019583632238209,0.0019665625877678,0.0028320376295596,0.0431062914431095,0.0016187996370717,0.0023782604839652,0.0028414882253855,0.002755333436653,0.001831111498177,0.0002228248049505,0.0008123071747832,0.0011675981804728,0.0018087844364345,0.0022117800544947,0.0025399492587894,0.002023798180744,0.0019718050025403,0.0005729389376938,0.0006233797757886,0.0007368361693806,0.0010090953437611,0.0005419224034994,0.0012193199945613,0.0002783206873573,0.0014170515350997,0.000258281128481,0.0002825875708367,0.0002007118018809,0.0004012763383798,0.000320403225487,0.0001664142182562,6.615032907575369e-05,6.52942544547841e-05,1.1565062777663115e-05,3.8250655052252114e-05,1.4879250556987245e-05,3.131806806777604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admission_source_id,0.0015041583683341,0.0016295089153572,0.0027216908056288,0.0009343567653559,0.0014091285411268,0.0003993608988821,0.0038274859543889,0.0018294093897566,0.0024457236286252,0.0,0.000452868262073,0.0017253247788175,0.0015181225026026,0.0016187996370717,0.0409625023603439,0.0009876146214082,0.0016195571515709,0.0009718288201838,0.0017129888292402,0.000307736598188,0.0005152554367668,0.0006928659277036,0.0012799930991604,0.0004425294755492,0.0036164696794003,0.0022552281152457,0.0033301620278507,0.0002036610530922,0.0005840057856403,0.0002320674393558,0.0006461246521212,0.0002353338204557,0.0008326553506776,0.0002440767275402,0.0004904388915747,0.0001638744870433,0.0004118349170312,0.0006137693999335,0.00011079977412,0.0002476590452715,0.0001303145545534,3.1593053790857084e-06,9.44764633459272e-06,2.7327996576786973e-05,1.2411604984663429e-05,4.879032985627418e-06,8.355522368219681e-06,1.2851517112721922e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diag_2,0.004520006943494,0.0044388794340193,0.0026971551124006,0.0013243294088169,0.0035461578518152,0.0010745516046881,0.0030398732051253,0.0028337505646049,0.0022619643714278,0.0006820848211646,0.0017230140510946,0.001068263547495,0.0020504826679825,0.0023782602511346,0.0009876148542389,0.0397150702774524,0.0021659231279045,0.0026293075643479,0.0016327108023688,0.0002180472802137,0.000843774236273,0.0012983530759811,0.0010316064581274,0.0010753069072961,0.0017398891504853,0.001916748471558,0.0027972273528575,0.001414330676198,0.00083251693286,0.0003904929326381,0.0011492394842207,0.0003864891186822,0.000528899137862,0.0002481381525285,0.001159074367024,0.000594166922383,0.0002821905654855,0.0001450524578103,0.0001656207023188,0.0002707293606363,0.0004135236667934,1.7502909031463787e-05,0.0001781767787178,2.9052511308691464e-05,2.9607823307742365e-05,1.626351149752736e-05,6.706291515001794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medical_specialty_te,0.0099989958107471,0.0022521144710481,0.0061378572136163,0.0006762028788216,0.0031145287211984,0.0022296165116131,0.0023725810460746,0.001421942259185,0.0016038226895034,0.0001372064143652,0.0016015552682802,0.0020436740014702,0.0035727729555219,0.0028414882253855,0.0016195570351555,0.0021659228950738,0.0393547192215919,0.0017552223289385,0.0016538519412279,0.0012438639532774,0.0011266430374234,0.0010920031927525,0.0020262631587684,0.0016602806281298,0.0012022248702123,0.0016755432588979,0.0024073617532849,0.0006058576400391,0.000471772858873,0.0004085646651219,0.0015860829735174,0.0003093699924647,0.0003885242331307,0.0002168935752706,0.0012662804219871,0.0002254954742966,0.0002883946581277,0.0001139945234172,0.0002659057208802,0.0002250535908387,0.000196003835299,1.171221629192587e-05,3.6938497942173854e-05,3.814583033090457e-05,1.5523421097896062e-05,0.0,1.9016600845134235e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diag_3,0.0057676448486745,0.0033768431749194,0.003643449395895,0.0015109762316569,0.0041585997678339,0.0010161740938201,0.0024226233363151,0.0021111797541379,0.0016993075842037,0.0002436290233163,0.0012505267513915,0.0017248664516955,0.0042739417403936,0.0027553329709917,0.0009718286455608,0.0026293070986866,0.0017552219796925,0.0367721207439899,0.0018085913034155,0.0003616206813603,0.0009745798306539,0.0011030103778466,0.0008026914438232,0.0010179876117035,0.0016856683650985,0.0014605799224227,0.0017413232708349,0.0007499408675357,0.0004995400668121,0.0004651545605156,0.0013451173435896,0.0006069788942113,0.0005305809900164,0.0001809838286135,0.0012979713501408,0.0002258981694467,0.0002658368612173,0.0002411522873444,0.0002263364149257,0.0002071537019219,0.0002263099740957,4.632915079127997e-05,0.0001157215374405,3.597119575715624e-05,6.895288606756367e-06,1.7982698636842542e-06,6.034553280187538e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_procedures,0.0012209513224661,0.0039957617409527,0.0029679045546799,0.0007182987174019,0.002589136827737,0.001407646224834,0.0019243265269324,0.0013533580349758,0.0045654918067157,0.0,0.0018899078713729,0.0019489063415676,0.0025672130286693,0.001831111498177,0.0017129888292402,0.0016327110351994,0.0016538520576432,0.0018085910705849,0.0321377851068973,0.0002676165022421,0.0006463525933213,0.0007870362023822,0.0005514356307685,0.0005289333057589,0.0016192550538107,0.0012768524466082,0.0015941029414534,0.0003872863599099,0.0003627791302278,0.0002271894045406,0.0022534430027008,0.000288349983748,0.0005853145848959,8.975232776720077e-05,0.0009619577322155,0.0002340762439416,0.0002634564298205,9.377156675327568e-05,0.0002371743612457,0.0001656514359638,9.68261156231165e-05,2.3462432636733865e-06,2.82581622741418e-05,1.845082442741841e-05,0.0,1.2820222764275968e-05,0.0,2.481316869307193e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight,0.0021935817785561,0.0008889198070392,0.0011668920051306,0.0003704162954818,0.0005215069977566,0.0005819047219119,0.0020589453633874,0.0004647457972168,0.000958465563599,2.0346740711829625e-05,0.0004483341181185,0.0005156990955583,0.0003393765364307,0.0002228249359177,0.0003077363944612,0.0002180475275963,0.0012438648846,0.0003616209723986,0.0002676167350728,0.0303428899496793,0.0002517878019716,0.0002254232822451,7.326649210881442e-05,0.0001363672781735,0.0002633269177749,0.0002334998134756,0.0005047074519097,7.64676951803267e-05,0.000114196249342,0.0001472726871725,0.0001506846019765,6.853213562862948e-05,8.364609675481915e-05,0.0001157170554506,0.0001300714939134,3.597980321501382e-05,0.0004620980180334,1.992121360672172e-05,3.0293644158518877e-05,0.0002914695360232,1.907603109430056e-05,7.863677637942601e-06,2.799087451421656e-05,7.879658369347453e-06,7.209006525954464e-06,1.5192468936220394e-06,1.8861575199480285e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1Cresult,0.003417654428631,0.001491495873779,0.0012565932702273,0.0008383714593946,0.0015374741051346,0.000387497479096,0.0009552583796903,0.0008367444970645,0.0008384649991057,0.0,0.0005323598743416,0.0015140294563025,0.0008501735865138,0.0008123073494061,0.0005152554949745,0.000843774410896,0.0011266430374234,0.0009745798888616,0.000646352476906,0.0002517875400371,0.0255737248808145,0.0004687367472797,0.0005416378262452,0.0007171534234657,0.0005110655911266,0.0005055665387772,0.0006725859129801,0.000257190404227,0.0005140105495229,0.0002449315798003,0.0004423113714437,0.0002078464458463,0.0003204936510883,4.030064883409068e-05,0.0003402357106097,0.0001591178006492,0.0001471445139031,4.794996493728832e-05,0.0001018589973682,0.0001803151390049,3.995766383013688e-05,4.532951152214082e-06,9.149996003543492e-06,2.516593121981714e-05,2.3197719201561995e-05,3.0543851607944816e-06,1.9717649593076203e-06,3.036850841908745e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insulin,0.0010798913426697,0.0021603861823678,0.0009364107972942,0.0014121332205832,0.0021038406994193,0.0004641141858883,0.0035467522684484,0.0012209651758894,0.0016644895076751,3.4289136237930506e-05,0.0006019251886755,0.0011217666324228,0.0010542508680373,0.0011675980640575,0.0006928657530806,0.0012983526103198,0.0010920030763372,0.0011030100286006,0.0007870362023822,0.0002254228602396,0.0004687369219027,0.0251916889101266,0.0007535033510066,0.0003683070826809,0.0010522687807679,0.0009890944929793,0.0012160865589976,0.0017512836493551,6.783898425055668e-05,0.0005835311021655,0.0008115571690723,0.0001733980898279,0.0005137954722158,0.0004606122965924,0.0004817239241674,0.0008405492990277,0.0001562005054438,0.0001000137199298,0.0001283425517613,0.0004258192202541,0.0003482871106825,0.0001142798864748,4.6277873479994014e-05,7.241804269142449e-06,2.270354889333248e-05,9.091597894439474e-05,6.133254260021204e-07,1.185178348350746e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
race,0.00143025489524,0.0010619962122291,0.0011409702710807,0.0005780480569228,0.0024916802067309,0.0005338093615137,0.0044861994683742,0.0018920769216492,0.0005923503194935,0.0,0.0010292427614331,0.0007346746861003,0.0011107062455266,0.0018087844364345,0.0012799930991604,0.0010316063417121,0.0020262631587684,0.0008026915602385,0.0005514358635991,7.32667394913733e-05,0.0005416375934146,0.0007535035256296,0.0244036614894866,0.0004362099280115,0.0021462203003466,0.0012805084697902,0.0006725736893713,0.000552459154278,0.0004498242342378,0.0001235032541444,0.0010621035471558,0.000644800835289,0.0005350800347514,8.991098729893565e-05,0.0013584272237494,0.0004409289977047,6.704311090288684e-05,0.0001012256761896,0.0001004231962724,0.0001439552434021,9.938771108863877e-05,1.36940152515308e-05,2.8658550945692696e-05,1.157517090177862e-05,5.16396903549321e-06,8.512240015079442e-07,3.586559842005954e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gender,0.0009479805012233,0.001408114330843,0.0013995157787576,0.0004580848617479,0.0015346658183261,0.0002258829335914,0.0008613893296569,0.0029130494222044,0.0011243063490837,0.000170921193785,0.0009205205715261,0.0006012712256051,0.0019630435854196,0.0022117800544947,0.0004425293882377,0.0010753066744655,0.0016602803952991,0.0010179876117035,0.0005289335385896,0.0001363673218293,0.0007171534816734,0.0003683071699924,0.0004362097824923,0.0243988279253244,0.000568319344893,0.0013343789614737,0.0011970002669841,0.0004865347873419,0.0002209778322139,0.0001220103513333,0.0003906677593477,0.0002638501755427,0.0003170712443534,7.742674642940983e-05,0.0004652505449485,9.25267959246412e-05,0.0001130387681769,8.196654380299151e-05,0.0001021713469526,0.0001043113225023,4.086125773028471e-05,2.829707045748364e-05,3.150419797748327e-05,9.018895798362792e-05,2.6262760002282448e-05,0.0,4.329243893153034e-05,1.2214935850352047e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diag_3_te,0.0020138160325586,0.0015106303617358,0.0030277993064373,0.0018620794871822,0.001506480271928,0.0005553098744712,0.0033849831670522,0.0032004080712795,0.0022814332041889,5.135058017913252e-05,0.0030177093576639,0.00239726039581,0.0021821018308401,0.00253994949162,0.0036164699122309,0.0017398889176547,0.0012022249866276,0.0016856680158525,0.0016192554030567,0.0002633269177749,0.0005110654747113,0.0010522687807679,0.0021462200675159,0.0005683194031007,0.0229096747934818,0.0033793807961046,0.0017515292856842,0.0005241196486167,0.00050543010002,0.0002535591193009,0.0008834087639115,0.0003276148927398,0.0007868647808209,0.0001327880454482,0.0011273601558059,0.00046005481272,0.0001771134411683,7.599801756441593e-05,0.0001053046726156,0.0002230709069408,0.0001976233179448,3.631917206803337e-05,7.388235098915175e-05,8.591321966378018e-05,2.218489316874184e-05,4.539579094853252e-05,3.3150788567581917e-06,1.7493698578618933e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medical_specialty,0.0036023987922817,0.0022339222487062,0.0028610993176698,0.0013105432735756,0.0026548199821263,0.0005824211402796,0.007292790338397,0.0010729465866461,0.0019157419446855,0.000113509442599,0.0023011229932308,0.0021861216519027,0.0019411670509725,0.0020237984135746,0.0022552283480763,0.001916748471558,0.0016755432588979,0.001460580038838,0.0012768522137776,0.0002334997843718,0.0005055664805695,0.000989094376564,0.0012805084697902,0.0013343788450583,0.0033793814945966,0.022775262594223,0.0043248138390481,0.0007944475510157,0.0008934025536291,0.000545767659787,0.000667521089781,0.0003680129884742,0.0020919209346175,0.0002734059817157,0.0008330296259373,0.0002735111047513,0.0002745882084127,0.000607787806075,7.261998689500615e-05,0.0001857918250607,0.0001145664209616,1.3562014828494284e-05,5.229455200606026e-05,2.2272311980486847e-05,1.3833150660502724e-05,0.0,2.1854034457646776e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_lab_procedures,0.0028771269135177,0.0031051926780492,0.0044298074208199,0.0036501854192465,0.0027434055227786,0.0011922824196517,0.0027107258792966,0.0033764180261641,0.003081442322582,0.0,0.002245630370453,0.0013109815772622,0.0031055207364261,0.0019718047697097,0.0033301615621894,0.0027972271200269,0.0024073615204542,0.0017413230380043,0.0015941028250381,0.0005047076265327,0.0006725859711878,0.0012160867918282,0.0006725736311636,0.0011970001505687,0.0017515289364382,0.0043248138390481,0.0180474761873483,0.0004194455686956,0.0008049714961089,0.0004197005764581,0.0030617087613791,0.0005293729482218,0.0015757413348183,0.0001982439134735,0.0011439580703154,0.0005146960611455,0.0002829333825502,0.0010760338045656,0.0003307784209027,0.0002606374328024,0.0001003500001388,5.909629908273928e-05,6.645480607403442e-05,1.0072657460113987e-05,8.914061254472472e-06,0.0,2.6867252017837014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
