feature,value,recall,precision,accuracy,roc_auc,prauc,f1,f2,tp,tn,fp,fn,size
number_diagnoses,2,0.27419354838709675,0.7083333333333334,0.7511961722488039,0.706276058810621,0.5541119888432533,0.3953488372093023,0.3125,0.08133971291866028,0.6698564593301436,0.03349282296650718,0.215311004784689,209
number_diagnoses,3,0.2864321608040201,0.6867469879518072,0.6950998185117967,0.7201347647327547,0.599516482089304,0.40425531914893614,0.3242320819112628,0.10344827586206896,0.5916515426497277,0.047186932849364795,0.2577132486388385,551
number_diagnoses,4,0.3609625668449198,0.645933014354067,0.7099165894346617,0.7000948154890583,0.5995643185742762,0.4631217838765009,0.39589442815249265,0.12511584800741427,0.5848007414272475,0.0685820203892493,0.22150139017608897,1079
number_diagnoses,5,0.34478527607361964,0.6444954128440367,0.6955368979231109,0.7082533979595296,0.5991970761413019,0.4492406075139888,0.38014069264069267,0.1241714538223597,0.5713654441007512,0.0684931506849315,0.2359699513919576,2263
number_diagnoses,6,0.47038724373576307,0.6082474226804123,0.6377601585728444,0.6811223674219717,0.6231019228682758,0.5305073859987155,0.49272250059651634,0.20465807730426164,0.43310208126858274,0.13181367690782952,0.23042616451932607,2018
number_diagnoses,7,0.5601577909270217,0.6729857819905213,0.6560266793711291,0.7098469355293177,0.6975388978944903,0.6114101184068891,0.5795918367346938,0.27060505002382085,0.3854216293473082,0.13149118627918055,0.21248213434969032,2099
number_diagnoses,8,0.5515210991167812,0.6534883720930232,0.6394460362941738,0.6938685898167376,0.6874626349267358,0.5981905268759978,0.5692868719611021,0.26838586437440304,0.37106017191977075,0.14231136580706782,0.21824259789875836,2094
number_diagnoses,9,0.6429718875502008,0.6412978169437212,0.6239991571849979,0.6747177094904441,0.6888723908310493,0.6421337611551188,0.6426363745835507,0.33733670459334175,0.2866624525916561,0.18868520859671303,0.1873156342182891,9492
number_diagnoses,10,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.8055555555555556,0.6666666666666666,0.6666666666666666,0.4,0.2,0.2,0.2,5
number_diagnoses,11,0.3333333333333333,1.0,0.6,0.3333333333333333,0.7,0.5,0.38461538461538464,0.2,0.4,0.0,0.4,5
number_diagnoses,12,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
number_diagnoses,13,1.0,0.5,0.6666666666666666,1.0,1.0,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
number_diagnoses,14,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
number_diagnoses,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,3
number_diagnoses,16,0.6666666666666666,0.5,0.6666666666666666,0.7777777777777779,0.7,0.5714285714285714,0.625,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,9
race,AfricanAmerican,0.5510553337136338,0.644,0.6473571809930593,0.7025851175062519,0.6794058647575192,0.59391331079004,0.5674342105263158,0.2578750667378537,0.38948211425520557,0.14255205552589428,0.21009076348104644,3746
race,Asian,0.4444444444444444,0.5714285714285714,0.7101449275362319,0.7211469534050179,0.6401094078011753,0.5,0.46511627906976744,0.14492753623188406,0.5652173913043478,0.10869565217391304,0.18115942028985507,138
