number,value,datetime_start,datetime_complete,duration,params_LeakyReLU_alpha,params_batch_size,params_dense_units,params_dropout_rate,params_embedding_dim,params_filters_l1,params_filters_l2,params_filters_l3,params_filters_l4,params_kernel_regularizer,params_kernel_size,params_learning_rate,params_n_conv_layers,params_pooling_type,params_positive_class_weight,user_attrs_best_epoch,user_attrs_best_val_pr_auc,user_attrs_best_val_precision,user_attrs_best_val_recall,user_attrs_best_val_roc_auc,state
26,0.6529621481895447,2026-07-24 15:46:31.127411,2026-07-24 15:47:17.483993,0 days 00:00:46.356582,0.2,256,64,0.15000000000000002,5,16,64.0,32.0,,1.1425458228745992e-05,5,0.0008585414696685862,3,max,1.2,12,0.6529621481895447,0.5910871624946594,0.6445583701133728,0.6772487163543701,COMPLETE
27,0.6518521308898926,2026-07-24 15:47:17.488666,2026-07-24 15:48:48.571635,0 days 00:01:31.082969,0.3,256,64,0.05,6,32,64.0,64.0,32.0,2.2990344574207555e-07,5,3.398201064701667e-05,4,average,1.3,30,0.6518521308898926,0.5820159912109375,0.6684823036193848,0.6756278276443481,COMPLETE
28,0.6500394940376282,2026-07-24 15:48:48.576520,2026-07-24 15:49:12.472149,0 days 00:00:23.895629,0.05,256,64,0.0,3,32,64.0,16.0,,6.489465218030816e-07,5,0.0002821650708910526,3,average,1.35,5,0.6500394940376282,0.5748074054718018,0.685250461101532,0.6732876896858215,COMPLETE
29,0.6539306640625,2026-07-24 15:49:12.476802,2026-07-24 15:51:01.012788,0 days 00:01:48.535986,0.2,256,128,0.1,6,32,64.0,128.0,16.0,1.3141767066646954e-05,5,0.00011398104892990051,4,average,1.4,24,0.6539306640625,0.5677170753479004,0.723486065864563,0.6776766777038574,COMPLETE
30,0.652935266494751,2026-07-24 15:51:01.017907,2026-07-24 15:52:24.847546,0 days 00:01:23.829639,0.2,256,64,0.2,7,64,64.0,,,1.4683314742125939e-06,5,0.0012220122396744248,2,average,1.25,21,0.652935266494751,0.5758111476898193,0.6956104040145874,0.6775035858154297,COMPLETE
31,0.6528224945068359,2026-07-24 15:52:24.852197,2026-07-24 15:54:13.103081,0 days 00:01:48.250884,0.2,256,128,0.1,6,32,64.0,128.0,16.0,1.9490896675929804e-05,5,0.00012175736486415951,4,average,1.4,24,0.6528224945068359,0.570878267288208,0.7122716903686523,0.6769581437110901,COMPLETE
32,0.6525408029556274,2026-07-24 15:54:13.108139,2026-07-24 15:55:55.714367,0 days 00:01:42.606228,0.2,256,128,0.05,5,32,64.0,128.0,16.0,8.797042086840388e-06,5,4.365144548382709e-05,4,average,1.35,22,0.6525408029556274,0.5754072666168213,0.7016981840133667,0.6777083873748779,COMPLETE
33,0.6525231599807739,2026-07-24 15:55:55.719849,2026-07-24 15:57:52.419735,0 days 00:01:56.699886,0.2,256,128,0.15000000000000002,7,32,64.0,128.0,32.0,2.0329755463483713e-07,5,0.00010377336569857636,4,average,1.4,26,0.6525231599807739,0.5689176917076111,0.7225248217582703,0.676810622215271,COMPLETE
34,0.654309093952179,2026-07-24 15:57:52.425504,2026-07-24 15:59:53.831055,0 days 00:02:01.405551,0.05,128,128,0.1,7,16,64.0,128.0,16.0,1.3162222149198796e-07,5,0.0002769522130552499,4,average,1.3,19,0.654309093952179,0.5851274132728577,0.6647441983222961,0.6779346466064453,COMPLETE
35,0.6524626612663269,2026-07-24 15:59:53.836344,2026-07-24 16:02:21.733496,0 days 00:02:27.897152,0.05,128,128,0.15000000000000002,7,16,128.0,128.0,64.0,1.0611288259639157e-07,3,0.0003230241692979752,4,max,1.3,18,0.6524626612663269,0.5809662938117981,0.6793762445449829,0.6781188249588013,COMPLETE
36,0.6527180671691895,2026-07-24 16:02:21.738697,2026-07-24 16:03:13.899316,0 days 00:00:52.160619,0.05,128,128,0.05,7,16,16.0,128.0,,2.775150792678239e-07,5,0.000659063210511329,3,average,1.2,7,0.6527180671691895,0.6348292231559753,0.506141185760498,0.6764229536056519,COMPLETE
37,0.6525973677635193,2026-07-24 16:03:13.904544,2026-07-24 16:04:59.392010,0 days 00:01:45.487466,0.05,128,32,0.25,3,16,64.0,128.0,64.0,5.01092143821918e-07,3,0.0025200351254357606,4,max,1.3,24,0.6525973677635193,0.5839712023735046,0.6762789487838745,0.678729772567749,COMPLETE
