number,value,datetime_start,datetime_complete,duration,params_LeakyReLU_alpha,params_batch_size,params_dropout_rate,params_embedding_dim,params_kernel_regularizer,params_learning_rate,params_n_dense_layers,params_positive_class_weight,params_units_l1,params_units_l2,params_units_l3,user_attrs_best_epoch,user_attrs_best_val_pr_auc,user_attrs_best_val_precision,user_attrs_best_val_recall,user_attrs_best_val_roc_auc,state
10,0.6543545722961426,2026-07-15 22:39:28.110850,2026-07-15 22:40:49.871599,0 days 00:01:21.760749,0.1,256,0.30000000000000004,2,0.0008790157424516413,7.520529809800174e-05,1,1.2,256,,,50,0.6543545722961426,0.6017072796821594,0.6173235177993774,0.6777523159980774,COMPLETE
11,0.6545246243476868,2026-07-15 22:40:49.901490,2026-07-15 22:41:48.045606,0 days 00:00:58.144116,0.1,512,0.1,3,1.3436693156887524e-05,0.00016065253732758377,1,1.15,128,,,50,0.6545246243476868,0.6092875003814697,0.5927587151527405,0.6782804727554321,COMPLETE
12,0.6537577509880066,2026-07-15 22:41:48.066401,2026-07-15 22:42:45.309308,0 days 00:00:57.242907,0.1,512,0.30000000000000004,4,8.324866352707473e-06,0.0001960298173825664,2,1.1,64,64.0,,49,0.6537577509880066,0.6203540563583374,0.5650966763496399,0.6763043403625488,COMPLETE
13,0.6503214836120605,2026-07-15 22:42:45.329607,2026-07-15 22:43:41.722308,0 days 00:00:56.392701,0.1,512,0.30000000000000004,4,1.0877215468829678e-07,0.00021887134196924138,3,1.25,32,64.0,32.0,50,0.6503214836120605,0.5932067036628723,0.6304603219032288,0.6733908653259277,COMPLETE
14,0.6566600799560547,2026-07-15 22:43:41.754458,2026-07-15 22:44:29.573387,0 days 00:00:47.818929,0.1,512,0.25,2,0.0009476925947180191,0.0029531239586226554,1,1.0,64,,,50,0.6566600799560547,0.6369701623916626,0.5200256109237671,0.6804741024971008,COMPLETE
15,0.655761182308197,2026-07-15 22:44:29.608935,2026-07-15 22:45:40.676838,0 days 00:01:11.067903,0.3,256,0.25,2,0.0007941799675948704,0.0029425653931568433,1,1.2,64,,,49,0.655761182308197,0.6028347015380859,0.6223432421684265,0.6799066662788391,COMPLETE
16,0.6562567353248596,2026-07-15 22:45:40.705655,2026-07-15 22:46:21.150495,0 days 00:00:40.444840,0.1,512,0.25,3,0.0002755804703002946,0.002973633276651683,1,1.3,64,,,35,0.6562567353248596,0.5820444822311401,0.6792694926261902,0.6801453828811646,COMPLETE
17,0.6557661294937134,2026-07-15 22:46:21.170778,2026-07-15 22:47:02.760890,0 days 00:00:41.590112,0.1,512,0.35000000000000003,2,4.613534340699703e-05,0.0013837604913337887,1,1.0,64,,,41,0.6557661294937134,0.6381922960281372,0.5082772374153137,0.6795477867126465,COMPLETE
18,0.6429718136787415,2026-07-15 22:47:02.778040,2026-07-15 22:47:44.276466,0 days 00:00:41.498426,0.1,512,0.2,3,0.0004218280113569446,1.2788241041479547e-05,1,1.15,64,,,50,0.6429718136787415,0.6080590486526489,0.554416298866272,0.6634150147438049,COMPLETE
19,0.6502208709716797,2026-07-15 22:47:44.308032,2026-07-15 22:49:01.820464,0 days 00:01:17.512432,0.3,256,0.35000000000000003,2,4.9751969303561154e-05,3.664921262226722e-05,1,1.1,128,,,50,0.6502208709716797,0.6188051104545593,0.532094419002533,0.6736696362495422,COMPLETE
20,0.65714430809021,2026-07-15 22:49:01.842352,2026-07-15 22:49:58.735540,0 days 00:00:56.893188,0.1,512,0.25,4,0.0005261191500114241,0.0006848852006585244,1,1.3,256,,,33,0.65714430809021,0.5852492451667786,0.6796966791152954,0.6814806461334229,COMPLETE
21,0.6567611694335938,2026-07-15 22:49:58.767386,2026-07-15 22:50:31.369445,0 days 00:00:32.602059,0.1,512,0.25,4,0.0004468835245330284,0.0006861295316948139,1,1.3,256,,,15,0.6567611694335938,0.592004656791687,0.6532094478607178,0.6802763938903809,COMPLETE
22,0.6567557454109192,2026-07-15 22:50:31.388409,2026-07-15 22:51:43.775205,0 days 00:01:12.386796,0.1,512,0.25,5,0.0007942626701166245,0.0006029306408526201,1,1.3,256,,,48,0.6567557454109192,0.5832262635231018,0.6788422465324402,0.6810248494148254,COMPLETE
23,0.6561664938926697,2026-07-15 22:51:43.797672,2026-07-15 22:52:48.071095,0 days 00:01:04.273423,0.1,512,0.2,6,0.0003815558675199554,0.0006444989451057693,1,1.3,256,,,36,0.6561664938926697,0.58473801612854,0.6817259192466736,0.6801897287368774,COMPLETE
24,0.6558278203010559,2026-07-15 22:52:48.101166,2026-07-15 22:53:56.660393,0 days 00:01:08.559227,0.1,512,0.15000000000000002,5,8.911205660799907e-05,0.0003228994132472997,1,1.25,256,,,44,0.6558278203010559,0.5901544690132141,0.6529958248138428,0.6803467273712158,COMPLETE
25,0.6560459136962891,2026-07-15 22:53:56.693496,2026-07-15 22:54:55.340356,0 days 00:00:58.646860,0.1,512,0.25,6,0.00023908336516586729,0.00010244403339559638,1,1.35,256,,,49,0.6560459136962891,0.5749714970588684,0.700736939907074,0.6790839433670044,COMPLETE
26,0.6544589996337891,2026-07-15 22:54:55.357066,2026-07-15 22:55:45.433083,0 days 00:00:50.076017,0.1,256,0.15000000000000002,4,4.2831297341668665e-05,0.00039179356782458117,2,1.3,256,256.0,,16,0.6544589996337891,0.5895271897315979,0.6565203666687012,0.6795346736907959,COMPLETE
27,0.6566130518913269,2026-07-15 22:55:45.449193,2026-07-15 22:56:37.749637,0 days 00:00:52.300444,0.2,512,0.35000000000000003,5,0.0004596801560080573,0.0005967671584824841,1,1.35,256,,,48,0.6566130518913269,0.5781441926956177,0.7040478587150574,0.680420994758606,COMPLETE
28,0.65614253282547,2026-07-15 22:56:37.768301,2026-07-15 22:57:40.145240,0 days 00:01:02.376939,0.3,512,0.25,4,9.699637835856063e-05,0.00024448731131139625,1,1.25,256,,,50,0.65614253282547,0.5915603041648865,0.6482964754104614,0.679446816444397,COMPLETE
29,0.6478623747825623,2026-07-15 22:57:40.164171,2026-07-15 22:58:11.601875,0 days 00:00:31.437704,0.05,512,0.0,6,0.0006948270167683924,0.001622516160235645,2,1.2,256,32.0,,14,0.6478623747825623,0.5948379635810852,0.6350528597831726,0.6744412183761597,COMPLETE
30,0.6562916040420532,2026-07-15 22:58:11.618095,2026-07-15 22:59:26.245997,0 days 00:01:14.627902,0.1,256,0.2,7,0.0002014218149523218,0.00010567818731735435,1,1.3,256,,,50,0.6562916040420532,0.583279550075531,0.6758517622947693,0.6801550388336182,COMPLETE
31,0.6557324528694153,2026-07-15 22:59:26.259936,2026-07-15 22:59:52.306244,0 days 00:00:26.046308,0.1,512,0.25,3,0.0008679203342364043,0.0009467881039679099,1,1.35,256,,,16,0.6557324528694153,0.5820909142494202,0.683862030506134,0.6796746253967285,COMPLETE
32,0.6569405198097229,2026-07-15 22:59:52.319209,2026-07-15 23:00:43.562483,0 days 00:00:51.243274,0.1,512,0.30000000000000004,5,0.0009661780055643105,0.0005307938451957382,1,1.15,256,,,49,0.6569405198097229,0.6058339476585388,0.6055751442909241,0.6810908317565918,COMPLETE
33,0.6566458344459534,2026-07-15 23:00:43.581347,2026-07-15 23:01:45.093092,0 days 00:01:01.511745,0.1,512,0.30000000000000004,5,0.00043230392781744834,0.00047977218156224636,1,1.25,256,,,49,0.6566458344459534,0.5895881652832031,0.6543842554092407,0.680526077747345,COMPLETE
34,0.6566071510314941,2026-07-15 23:01:45.114098,2026-07-15 23:02:33.397747,0 days 00:00:48.283649,0.1,512,0.35000000000000003,8,0.0002485321555398541,0.0006933081583589373,1,1.4,256,,,33,0.6566071510314941,0.5716338157653809,0.7223111987113953,0.6808865070343018,COMPLETE
35,0.6564211249351501,2026-07-15 23:02:33.414324,2026-07-15 23:03:28.325720,0 days 00:00:54.911396,0.2,512,0.30000000000000004,7,0.0005695939834410112,0.0011504072175707164,1,1.15,256,,,40,0.6564211249351501,0.60772705078125,0.6031186580657959,0.6810050010681152,COMPLETE
36,0.6563562750816345,2026-07-15 23:03:28.352204,2026-07-15 23:05:05.106316,0 days 00:01:36.754112,0.05,128,0.4,5,0.00013899947897918748,0.00045667149842709476,2,1.2,256,256.0,,21,0.6563562750816345,0.6003497838973999,0.6233044862747192,0.6808905005455017,COMPLETE
37,0.6564123630523682,2026-07-15 23:05:05.125290,2026-07-15 23:06:05.352234,0 days 00:01:00.226944,0.1,512,0.25,6,0.0003111986977038038,0.000744416311136847,1,1.3,256,,,46,0.6564123630523682,0.5834174156188965,0.6793762445449829,0.6804409623146057,COMPLETE
38,0.6559770703315735,2026-07-15 23:06:05.368558,2026-07-15 23:07:32.816008,0 days 00:01:27.447450,0.2,128,0.2,4,0.0001556003448061382,0.002083494713259418,1,1.4,128,,,34,0.6559770703315735,0.5750299096107483,0.7186799049377441,0.6806374192237854,COMPLETE
39,0.6539837718009949,2026-07-15 23:07:32.833901,2026-07-15 23:08:05.589513,0 days 00:00:32.755612,0.1,512,0.15000000000000002,5,0.0005295456209409187,0.0002848141399513296,2,1.35,256,128.0,,11,0.6539837718009949,0.5835267901420593,0.6711524128913879,0.6785179972648621,COMPLETE
