threshold,precision,recall,f1_score,accuracy,score
0.19,0.47597160512741943,0.995407454875574,0.6440022111663902,0.4814031909003976,0.6440022111663902
0.195,0.47645613675913606,0.9942326177507209,0.6441991626587316,0.48246011374502995,0.6441991626587316
0.19999999999999996,0.4770778787412085,0.9925237637509345,0.6444074613410998,0.48381901454527154,0.6444074613410998
0.20499999999999996,0.4782384754056142,0.9916693367510413,0.6452845923969699,0.48623483819014546,0.6452845923969699
0.20999999999999996,0.47934866890669425,0.9903876962512015,0.6460220147694022,0.48855000251648295,0.6460220147694022
0.21499999999999997,0.4802594033722438,0.9886788422514151,0.6464836929953209,0.4904625295686748,0.6464836929953209
0.21999999999999997,0.4812809164280135,0.987183595001602,0.6470876505180622,0.4925763752579395,0.6470876505180622
0.22499999999999998,0.4824754132663737,0.9850475275018691,0.647705326731978,0.49504252856208164,0.647705326731978
0.22999999999999998,0.4838455062092191,0.9820570330022429,0.6482885042478936,0.4978609894811012,0.6482885042478936
0.235,0.485839817902705,0.9802413756274698,0.6496779217102003,0.5018370325632896,0.6496779217102003
0.24,0.48722724853645555,0.9777848980027769,0.6503747380385749,0.5046051638230409,0.6503747380385749
0.245,0.4881615598885794,0.9732991562533376,0.6502086975134672,0.5065176908752328,0.6502086975134672
0.24999999999999994,0.4898102221263748,0.9703086617537114,0.6509978144817455,0.509738789068398,0.6509978144817455
0.25499999999999995,0.4914748045178106,0.9666773470041653,0.6516433276935815,0.5129598872615633,0.6516433276935815
0.25999999999999995,0.49306010928961747,0.9636868525045391,0.6523515164660376,0.5159796668176556,0.6523515164660376
0.26499999999999996,0.49474263693916876,0.9598419310050198,0.6529351932577739,0.5191504353515527,0.6529351932577739
0.26999999999999996,0.49672476962362605,0.9556765993805404,0.653687401833656,0.5228245004781318,0.653687401833656
0.27499999999999997,0.49803987455197135,0.9498024137562747,0.6534406113376685,0.5252403241230057,0.6534406113376685
0.27999999999999997,0.5003389830508475,0.9458506888817687,0.6544728965746591,0.5293673561829987,0.6544728965746591
0.285,0.502251353662012,0.941151340382356,0.6549724988850899,0.5327394433539685,0.6549724988850899
0.29,0.5041393583994481,0.9365587952579302,0.6554546473819935,0.5360108712064019,0.6554546473819935
0.295,0.5057364700428787,0.9321798568834775,0.6557229255099357,0.5387286728068851,0.6557229255099357
0.3,0.5080070134424314,0.9283349353839582,0.6566690590412874,0.5425537269112688,0.6566690590412874
0.30499999999999994,0.5101051885119963,0.9219267328847591,0.656800456534145,0.5459761437415068,0.656800456534145
0.30999999999999994,0.5124663677130045,0.9154117270105735,0.6570837166513339,0.5497508681866223,0.6570837166513339
0.31499999999999995,0.5138368580060423,0.908255900886468,0.6563500945471386,0.5518143842166189,0.6563500945471386
0.31999999999999995,0.5153977758768178,0.9008864680123891,0.6556803606824984,0.5541295485429564,0.6556803606824984
0.32499999999999996,0.518303240168192,0.8952258891380968,0.6565106716271784,0.5585585585585585,0.6565106716271784
0.32999999999999996,0.5200975182846784,0.8886040798889245,0.6561514195583596,0.5611253711812371,0.6561514195583596
0.33499999999999996,0.5216539166719353,0.8812346470148457,0.6553613979348689,0.5632392168705018,0.6553613979348689
0.33999999999999997,0.5242513437420016,0.87504005126562,0.6556760433756152,0.5669132819970809,0.6556760433756152
0.3449999999999999,0.5261044176706827,0.8674570116415679,0.6549735897746058,0.5693291056419548,0.6549735897746058
0.3499999999999999,0.5284889063935932,0.8598739720175158,0.6546326787819653,0.5724495445165836,0.6546326787819653
0.3549999999999999,0.531692020282893,0.8511160952686105,0.6545111083733728,0.5765765765765766,0.6545111083733728
0.35999999999999993,0.5345643939393939,0.8440670725194916,0.6545740671719054,0.5802003120438874,0.6545740671719054
0.36499999999999994,0.5368984691425825,0.8353091957705864,0.6536564981195152,0.5828677839851024,0.6536564981195152
0.36999999999999994,0.5391152908394288,0.8265513190216811,0.6525845349523569,0.5852836076299763,0.6525845349523569
0.37499999999999994,0.5418939018344076,0.8171526220228559,0.6516480708627885,0.5883033871860688,0.6516480708627885
0.37999999999999995,0.544277390115819,0.8080743351489907,0.6504470426409904,0.5907192108309427,0.6504470426409904
0.38499999999999995,0.5477008553256817,0.8001708853999786,0.6502907733703671,0.59444360561679,0.6502907733703671
0.38999999999999996,0.549702380952381,0.7890633344013671,0.6479849142656668,0.5960038250541044,0.6479849142656668
0.39499999999999996,0.5521811572250833,0.778703407027662,0.6461647538441087,0.5981176707433691,0.6461647538441087
0.3999999999999999,0.555255440654422,0.7684502830289437,0.6446843779400564,0.6008354723438523,0.6446843779400564
0.4049999999999999,0.558686924348579,0.757983552280252,0.6432520619958307,0.6038049222406764,0.6432520619958307
0.4099999999999999,0.5616658626788873,0.7461283776567339,0.6408880326590524,0.6059690975892094,0.6408880326590524
0.4149999999999999,0.5654424451565196,0.7350208266581224,0.6391752577319587,0.6089385474860335,0.6391752577319587
0.41999999999999993,0.5682505036937542,0.722952045284631,0.6363337250293772,0.6105994262418843,0.6363337250293772
0.42499999999999993,0.5714040508067285,0.7110968706611129,0.6336426362122294,0.6125119532940762,0.6336426362122294
0.42999999999999994,0.5749670619235837,0.6991348926626081,0.6310005783689995,0.6146761286426091,0.6310005783689995
0.43499999999999994,0.5783208585084317,0.6849300437893837,0.627126931351457,0.6161860184206553,0.627126931351457
0.43999999999999995,0.5817138626688877,0.6713660151660793,0.6233328375229312,0.6176455785394332,0.6233328375229312
0.44499999999999995,0.5851851851851851,0.6581223966677348,0.6195144020509727,0.619054808998943,0.6195144020509727
0.4499999999999999,0.5903626233994722,0.6450923849193635,0.6165152597734,0.6218229402586944,0.6165152597734
0.4549999999999999,0.5937061535377831,0.6327031934209121,0.6125846647019285,0.6228798631033268,0.6125846647019285
0.4599999999999999,0.5973023064250412,0.6195663782975542,0.6082306684141546,0.6238864562886909,0.6082306684141546
0.4649999999999999,0.6017146486028789,0.6071771867991028,0.604433576099091,0.6254970053852735,0.604433576099091
0.4699999999999999,0.6079799411315818,0.5956424223005446,0.6017479499352612,0.6284664552820978,0.6017479499352612
0.4749999999999999,0.6127401415571284,0.5825056071771868,0.5972404730617609,0.6297750264230711,0.5972404730617609
0.4799999999999999,0.6168613391927836,0.5696892021787888,0.5923375902276513,0.630479641652826,0.5923375902276513
0.48499999999999993,0.6225875625446747,0.5581544376802307,0.5886129413752323,0.6323418390457497,0.5886129413752323
0.48999999999999994,0.6269041769041769,0.5450176225568728,0.5831000399931441,0.6327444763198953,0.5831000399931441
0.49499999999999994,0.631366106407178,0.5335896614333013,0.578374623755499,0.633398761890382,0.578374623755499
0.49999999999999994,0.6346579804560261,0.5202392395599701,0.5717807254372579,0.6327948059791635,0.5717807254372579
0.5049999999999999,0.6376480086114101,0.5061411940617323,0.5643346233998213,0.6317378831345312,0.5643346233998213
0.5099999999999999,0.6426293163222854,0.49492683968813417,0.5591890913478943,0.6322915093864815,0.5591890913478943
0.5149999999999999,0.6466628473216843,0.48221723806472283,0.5524625267665952,0.6318385424530676,0.5524625267665952
0.5199999999999999,0.6494312306101344,0.46950763644131155,0.545003719315646,0.6305803009713624,0.545003719315646
0.5249999999999999,0.6516956920256646,0.4556231976930471,0.5363002074297567,0.6287181035784388,0.5363002074297567
0.5299999999999999,0.6557788944723618,0.44601089394424864,0.5309261966817113,0.6286174442599024,0.5309261966817113
0.5349999999999999,0.6592233009708738,0.4351169496956104,0.5242231229492376,0.627812169711611,0.5242231229492376
0.5399999999999999,0.6627307500415766,0.42561144932179856,0.5183402705515089,0.6272585434596608,0.5183402705515089
0.5449999999999999,0.668495029139527,0.41653316244793337,0.5132591958939264,0.6277115103930746,0.5132591958939264
0.5499999999999999,0.6732498677481925,0.4077752856990281,0.5079153917786351,0.6276611807338064,0.5079153917786351
0.5549999999999999,0.6781420765027323,0.3976289650752964,0.501312866087659,0.6272082138003926,0.501312866087659
0.5599999999999999,0.684794881445239,0.38865748157641783,0.49587790420385636,0.6276108510745382,0.49587790420385636
0.565,0.6878511916295291,0.379151981202606,0.488846047920683,0.626352609592833,0.488846047920683
0.57,0.6903900281463611,0.36676278970415466,0.47904024551858826,0.6240877749257637,0.47904024551858826
0.575,0.6949927280282568,0.35725728933034284,0.47192437923250563,0.6232321707182042,0.47192437923250563
0.58,0.697269404429155,0.3463633450817046,0.46282289139432,0.6211183250289396,0.46282289139432
0.585,0.6989795918367347,0.33653743458293284,0.4543291759786605,0.619054808998943,0.4543291759786605
0.59,0.7029953917050691,0.32585709708426785,0.44530394804057505,0.6174442599023605,0.44530394804057505
0.595,0.7080938697318008,0.3158175798355228,0.43681217224314944,0.6162363480799234,0.43681217224314944
0.6,0.7097013083189336,0.30705970308661756,0.42865662740420457,0.6142734913684634,0.42865662740420457
0.605,0.7152742183495643,0.29808821958773896,0.4208066339992461,0.6133172278423675,0.4208066339992461
0.61,0.7201700770661706,0.2894371462138204,0.41292092031083344,0.6121596456791988,0.41292092031083344
0.615,0.7216380741560597,0.2785432019651821,0.4019418972027433,0.6093915144194474,0.4019418972027433
0.62,0.7250287026406429,0.26978532521627685,0.3932435588075037,0.6076803060043283,0.3932435588075037
0.625,0.7278424350940018,0.2604934315924383,0.38367154318074564,0.6056167899743319,0.38367154318074564
